code,score
21212,3.8
85123A,3.791
84077,3.782
85099B,3.773
17003,3.764
84879,3.755
84991,3.746
21977,3.737
37410,3.728
21980,3.719
84755,3.71
21982,3.701
84270,3.692
21213,3.683
21232,3.674
22197,3.665
21984,3.656
21981,3.647
84568,3.638
20725,3.629
71459,3.62
84992,3.611
15036,3.602
21975,3.593
85099F,3.584
16014,3.575
21080,3.566
21985,3.557
22386,3.548
84970S,3.539
21088,3.53
85099C,3.521
84598,3.512
21096,3.503
22492,3.494
21498,3.485
84212,3.476
21085,3.467
21091,3.458
16033,3.449
21099,3.44
21929,3.431
21931,3.422
20727,3.413
21092,3.404
72741,3.395
22411,3.386
84836,3.377
85220,3.368
21928,3.359
21731,3.35
84946,3.341
20728,3.332
20724,3.323
85110,3.314
21915,3.305
22383,3.296
22417,3.287
20726,3.278
20914,3.269
21231,3.26
22151,3.251
20972,3.242
20993,3.233
37340,3.224
22178,3.215
21181,3.206
16047,3.197
16156S,3.188
84970L,3.179
21790,3.17
22423,3.161
20975,3.152
16046,3.143
21967,3.134
84692,3.125
22384,3.116
21094,3.107
21704,3.098
22294,3.089
22355,3.08
84347,3.071
22952,3.062
85175,3.053
20719,3.044
22382,3.035
21500,3.026
20971,3.017
85160A,3.008
22356,2.999
84945,2.99
40016,2.981
21986,2.972
22585,2.963
85184D,2.954
21976,2.945
21733,2.936
21497,2.927
21210,2.918
22029,2.909
22469,2.9
21166,2.891
21086,2.882
16162L,2.873
22297,2.864
21877,2.855
21791,2.846
22090,2.837
20713,2.828
22086,2.819
22616,2.81
22083,2.801
47566,2.792
35961,2.783
21392,2.774
21175,2.765
22348,2.756
84978,2.747
22444,2.738
22385,2.729
21499,2.72
85152,2.711
21121,2.702
82494L,2.693
22045,2.684
20718,2.675
21082,2.666
22379,2.657
22534,2.648
22489,2.639
20712,2.63
79000,2.621
20723,2.612
47503E,2.603
22189,2.594
10002,2.585
15056N,2.576
21918,2.567
71477,2.558
82580,2.549
21390,2.54
82482,2.531
21122,2.522
21385,2.513
75049L,2.504
22077,2.495
15056BL,2.486
21829,2.477
17084R,2.468
22030,2.459
21930,2.45
22470,2.441
84520B,2.432
85160B,2.423
21868,2.414
37423,2.405
21495,2.396
20711,2.387
21989,2.378
84050,2.369
21314,2.36
22027,2.351
22296,2.342
82600,2.333
84947,2.324
21137,2.315
48138,2.306
22560,2.297
21326,2.288
84949,2.279
22530,2.27
20668,2.261
22551,2.252
22556,2.243
22335,2.234
21672,2.225
22326,2.216
21787,2.207
16161U,2.198
21506,2.189
20759,2.18
21871,2.171
16161P,2.162
22147,2.153
37351,2.144
20756,2.135
22528,2.126
21908,2.117
21124,2.108
22328,2.099
21393,2.09
21988,2.081
47591D,2.072
22909,2.063
20757,2.054
37424,2.045
22139,2.036
22149,2.027
21673,2.018
20758,2.009
