item_id,similar_id,score
22423,21843,0.2539
22423,22666,0.231
22423,22061,0.2222
22423,22169,0.2129
22423,37503,0.2108
85123A,21733,0.7458
85123A,22283,0.3742
85123A,22169,0.3454
85123A,21166,0.3398
85123A,21754,0.3347
21843,21527,0.3277
21843,21218,0.3203
21843,21217,0.3084
21843,21212,0.2878
21843,21216,0.2667
22139,22138,0.2791
22139,85098B,0.2439
22139,20977,0.1943
22139,21912,0.1939
22139,22623,0.1913
84991,84987,0.5485
84991,21212,0.5232
84991,21977,0.5129
84991,47591D,0.2787
84991,85123A,0.2591
22138,37422,0.3333
22138,22139,0.2791
22138,35965,0.2093
22138,47310M,0.2
22138,21212,0.1989
22198,22197,0.6396
22198,21212,0.2282
22198,84991,0.1892
22198,20914,0.1862
22198,21232,0.1832
21212,21977,0.5635
21212,84991,0.5232
21212,84987,0.3463
21212,21206,0.3394
21212,20754,0.2944
21166,21175,0.4757
21166,85123A,0.3398
21166,82600,0.2671
21166,85150,0.2645
21166,22115,0.2258
22114,22112,0.4851
22114,22125,0.3013
22114,79160,0.2471
22114,21485,0.2361
22114,20780,0.2286
15056N,20679,0.5617
15056N,15056BL,0.5316
15056N,85123A,0.2304
15056N,85014B,0.2235
15056N,22423,0.1475
20751,20754,0.3382
20751,85123A,0.2464
20751,84991,0.2029
20751,21212,0.1981
20751,22139,0.1449
21912,21790,0.3639
21912,21888,0.361
21912,22138,0.1973
21912,22139,0.1939
21912,85123A,0.1837
15056BL,20679,0.724
15056BL,15056N,0.5316
15056BL,85014B,0.2717
15056BL,85123A,0.2576
15056BL,37370,0.1675
21781,85123A,0.3122
21781,21784,0.2418
21781,22423,0.2
21781,21843,0.1707
21781,21754,0.1512
20914,22329,0.3226
20914,21218,0.3064
20914,20754,0.2865
20914,21212,0.2591
20914,22200,0.2482
21733,85123A,0.7458
21733,85048,0.1917
21733,20910,0.1739
21733,21934,0.1648
21733,20679,0.1591
21524,48187,0.3179
21524,48129,0.3164
21524,85123A,0.2857
21524,21523,0.2424
21524,21754,0.1758
22666,85123A,0.2339
22666,22423,0.231
22666,21212,0.1608
22666,85099B,0.1608
22666,84991,0.152
37503,85123A,0.2581
37503,21843,0.243
37503,21232,0.2409
37503,84991,0.2366
37503,22423,0.2108
22622,22623,0.4739
22622,21790,0.1957
22622,22561,0.1574
22622,22139,0.1489
22622,21912,0.1404
21737,85123A,0.2638
21737,22423,0.135
21737,21212,0.1288
21737,21733,0.1166
21737,22139,0.1166
22561,22623,0.2261
22561,21790,0.1888
22561,22423,0.1702
22561,22139,0.1649
22561,22622,0.1574
47591D,84991,0.2787
47591D,85123A,0.2313
47591D,21212,0.2168
47591D,21232,0.1803
47591D,20725,0.1712
22197,22198,0.6396
22197,85123A,0.1875
22197,21212,0.1839
22197,21232,0.1536
22197,85099B,0.1482
22283,85123A,0.3742
22283,84991,0.184
22283,22423,0.1534
22283,21212,0.1288
22283,21977,0.1288
48129,21524,0.3164
48129,48187,0.2982
48129,85123A,0.2364
48129,21523,0.2109
48129,85099B,0.1673
22487,85123A,0.23
22487,22423,0.1835
22487,21894,0.129
22487,21784,0.1099
22487,21754,0.1085
21888,21912,0.361
21888,21790,0.3357
21888,85123A,0.1949
21888,22138,0.1913
21888,22139,0.1625
22112,22114,0.4851
22112,22125,0.2949
22112,85123A,0.2584
22112,21485,0.2418
22112,21484,0.2151
22061,21232,0.3819
22061,22423,0.2222
22061,21231,0.2188
22061,85123A,0.2049
22061,37447,0.1954
21175,21166,0.4757
21175,82600,0.3606
21175,85150,0.3264
21175,85123A,0.3248
21175,22115,0.2903
48187,21524,0.3179
48187,85123A,0.3124
48187,48129,0.2982
48187,21523,0.2894
48187,85099B,0.1738
21977,21212,0.5635
21977,84991,0.5129
21977,84987,0.2853
21977,85123A,0.1985
21977,22196,0.1868
22950,22910,0.5522
22950,21212,0.194
22950,21977,0.1493
22950,22423,0.1493
22950,85123A,0.1493
21232,21231,0.7794
21232,37447,0.5057
21232,22061,0.3819
21232,21700,0.3194
21232,85123A,0.2653
22169,85123A,0.3454
22169,22423,0.2129
22169,21754,0.1968
22169,84991,0.1365
22169,21232,0.1325
22623,22622,0.4739
22623,21790,0.2478
22623,22561,0.2261
22623,22139,0.1913
22623,21912,0.1652
21257,85123A,0.3064
21257,84991,0.1792
21257,21212,0.1676
21257,20914,0.1676
21257,21754,0.1618
21523,85123A,0.3271
21523,48187,0.2894
21523,21524,0.2424
21523,48129,0.2109
21523,21754,0.1718
21485,21484,0.3763
21485,85123A,0.2937
21485,22125,0.2821
21485,22112,0.2418
21485,22114,0.2361
84520B,85123A,0.255
84520B,21212,0.2173
84520B,84991,0.2106
84520B,21977,0.1818
84520B,47568,0.1719
85048,85123A,0.275
85048,21733,0.1917
85048,22910,0.1167
85048,22423,0.1083
85048,21232,0.1
21754,85123A,0.3347
21754,22169,0.1968
21754,21622,0.1829
21754,21784,0.1758
21754,21524,0.1758
20754,20751,0.3382
20754,21212,0.2944
20754,20914,0.2865
20754,85123A,0.2414
20754,21843,0.2016
84987,84991,0.5485
84987,21212,0.3463
84987,21977,0.2853
84987,85123A,0.2133
84987,21232,0.1828
21790,21912,0.3639
21790,21888,0.3357
21790,22623,0.2478
21790,22622,0.1957
21790,22561,0.1888
20977,85123A,0.2229
20977,22139,0.1943
20977,21212,0.1886
20977,22138,0.1771
20977,84991,0.1714
22910,22950,0.5522
22910,22423,0.1706
22910,85048,0.1167
22910,85123A,0.116
22910,22666,0.116
20679,15056BL,0.724
20679,15056N,0.5617
20679,85014B,0.3084
20679,85123A,0.3019
20679,21733,0.1591
84078A,20910,0.2609
84078A,79160,0.1647
84078A,20780,0.1429
84078A,85099B,0.1239
84078A,22114,0.1062
79160,20910,0.3478
79160,20725,0.2588
79160,20780,0.2571
79160,22114,0.2471
79160,22087,0.2471
22087,22090,0.3047
22087,85123A,0.2659
22087,79160,0.2471
22087,21934,0.1703
22087,21212,0.1634
22355,20724,0.4748
22355,22356,0.4542
22355,20719,0.4435
22355,20723,0.4305
22355,21935,0.323
85099B,85099F,0.6231
85099B,22386,0.5729
85099B,21931,0.5092
85099B,21930,0.5033
85099B,20724,0.3267
21935,21934,0.4505
21935,21931,0.3451
21935,22355,0.323
21935,85123A,0.2566
21935,20725,0.2257
22356,20724,0.6054
22356,20723,0.5045
22356,20719,0.4584
22356,22355,0.4542
22356,20725,0.3375
22236,85123A,0.2049
22236,22423,0.2049
22236,21843,0.1736
22236,21232,0.1667
22236,21212,0.1597
21934,21935,0.4505
21934,85123A,0.2747
21934,20725,0.2473
21934,21931,0.2308
21934,85099B,0.2198
20719,20724,0.5309
20719,22356,0.4584
20719,22355,0.4435
20719,20723,0.3901
20719,20725,0.2814
21672,21668,0.5698
21672,21673,0.5683
21672,21669,0.4885
21672,85123A,0.2363
21672,21212,0.2055
21216,21218,0.4431
21216,21217,0.2706
21216,21843,0.2667
21216,20914,0.2471
21216,85123A,0.2392
79321,85123A,0.1755
79321,21212,0.1325
79321,20910,0.1304
79321,21232,0.1192
79321,85042,0.1179
85042,85123A,0.225
85042,20910,0.1739
85042,79160,0.1647
85042,21212,0.1464
85042,21977,0.125
20725,20728,0.5397
20725,22383,0.4793
20725,20723,0.352
20725,20724,0.348
20725,22356,0.3375
20747,22114,0.1857
20747,85123A,0.1429
20747,20780,0.1429
20747,22138,0.1286
20747,82600,0.1286
21931,85099B,0.5092
21931,21930,0.5076
21931,85099F,0.392
21931,22386,0.3631
21931,21935,0.3451
20724,22356,0.6054
20724,20723,0.5942
20724,20719,0.5309
20724,22355,0.4748
20724,20725,0.348
20728,20725,0.5397
20728,22383,0.4334
20728,85099B,0.2907
20728,22355,0.2505
20728,85123A,0.2396
85099F,85099B,0.6231
85099F,22386,0.3982
85099F,21931,0.392
85099F,21930,0.3442
85099F,20723,0.2848
20910,79160,0.3478
20910,84078A,0.2609
20910,22355,0.2609
20910,20724,0.2174
20910,21669,0.2174
21668,21669,0.6744
21668,21672,0.5698
21668,21673,0.469
21668,85123A,0.2519
21668,20910,0.2174
21673,21672,0.5683
21673,21668,0.469
21673,21669,0.4577
21673,85123A,0.2768
21673,21212,0.1993
22200,20914,0.2482
22200,21232,0.2263
22200,20725,0.2117
22200,85099B,0.2044
22200,21212,0.1898
22467,85123A,0.1802
22467,22423,0.1731
22467,85099B,0.1625
22467,20910,0.1304
22467,21212,0.1237
22383,20725,0.4793
22383,20728,0.4334
22383,21931,0.319
22383,22355,0.3065
22383,20723,0.2758
85232B,85123A,0.3103
85232B,85099B,0.1923
85232B,20910,0.1739
85232B,21931,0.1692
85232B,21754,0.1436
21669,21668,0.6744
21669,21672,0.4885
21669,21673,0.4577
21669,85123A,0.2385
21669,20910,0.2174
21218,21216,0.4431
21218,21843,0.3203
21218,20914,0.3064
21218,21217,0.2925
21218,85123A,0.2786
21846,22114,0.2241
21846,85123A,0.2069
21846,20780,0.2
21846,79160,0.1724
21846,21935,0.1552
21930,21931,0.5076
21930,85099B,0.5033
21930,22386,0.4292
21930,85099F,0.3442
21930,20725,0.3028
47590B,85123A,0.2441
47590B,22090,0.1919
47590B,21212,0.1801
47590B,85099B,0.1493
47590B,21127,0.1389
20723,20724,0.5942
20723,22356,0.5045
20723,22355,0.4305
20723,20719,0.3901
20723,20725,0.352
21155,20725,0.2303
21155,47568,0.2281
21155,21042,0.2136
21155,21212,0.2099
21155,85099B,0.207
22090,22087,0.3047
22090,21206,0.2936
22090,21212,0.2381
22090,47590B,0.1919
22090,85123A,0.1659
21495,20725,0.2094
21495,22383,0.1728
21495,21212,0.1675
21495,22138,0.1571
21495,85123A,0.1518
47568,85123A,0.3063
47568,21155,0.2281
47568,85099B,0.225
47568,21212,0.1906
47568,84991,0.1875
21041,21232,0.2515
21041,20914,0.2147
21041,85099B,0.2086
21041,20725,0.2025
21041,21212,0.2025
21784,85123A,0.2747
21784,21781,0.2418
21784,21754,0.1758
21784,22139,0.1758
21784,20914,0.1648
20780,20725,0.2571
20780,22356,0.2571
20780,79160,0.2571
20780,22114,0.2286
20780,21846,0.2
85098B,22139,0.2439
85098B,21212,0.1829
85098B,20910,0.1739
85098B,85099B,0.1707
85098B,21232,0.1585
22125,22114,0.3013
22125,22112,0.2949
22125,21485,0.2821
22125,85123A,0.2628
22125,21622,0.1923
85175,85123A,0.2008
85175,21232,0.1325
85175,79160,0.1294
85175,85099B,0.1245
85175,21212,0.1165
85150,82600,0.3574
85150,21175,0.3264
85150,85123A,0.312
85150,21166,0.2645
85150,22115,0.2387
22502,85123A,0.1879
22502,22139,0.1596
22502,20725,0.1206
22502,22383,0.1206
22502,20728,0.117
85132A,85123A,0.2414
85132A,85099B,0.2069
85132A,37503,0.1954
85132A,21212,0.1954
85132A,21218,0.1839
21217,21843,0.3084
21217,21218,0.2925
21217,21212,0.2885
21217,21216,0.2706
21217,85123A,0.2665
21622,85123A,0.3218
21622,22125,0.1923
21622,21754,0.1829
21622,22115,0.1548
21622,85099B,0.125
22353,20725,0.3256
22353,22383,0.245
22353,85099B,0.219
22353,20728,0.2104
22353,21232,0.2104
20749,20750,0.3814
20749,37422,0.2593
20749,85123A,0.2244
20749,22138,0.1923
20749,22423,0.1827
22178,85123A,0.31
22178,21326,0.155
22178,22423,0.155
22178,21754,0.1456
22178,21714,0.1164
84880,85123A,0.3347
84880,22423,0.1695
84880,21212,0.1441
84880,84991,0.1314
84880,22139,0.1314
21564,21563,0.5037
21564,21212,0.2519
21564,85123A,0.2296
21564,20725,0.1556
21564,21232,0.1481
82600,21175,0.3606
82600,85150,0.3574
82600,85123A,0.3002
82600,22115,0.2839
82600,21166,0.2671
20750,20749,0.3814
20750,85099B,0.2032
20750,21212,0.2009
20750,85123A,0.1918
20750,22138,0.1849
21563,21564,0.5037
21563,21212,0.2333
21563,85123A,0.2133
21563,20725,0.16
21563,22197,0.14
37447,21232,0.5057
37447,21231,0.3678
37447,85123A,0.2701
37447,84991,0.2241
37447,22061,0.1954
20702,85123A,0.2595
20702,22139,0.1459
20702,21212,0.1351
20702,22138,0.1351
20702,21232,0.1243
21447,85123A,0.2126
21447,84991,0.1654
21447,21212,0.1654
21447,21977,0.1496
21447,21754,0.1496
21527,21843,0.3277
21527,21218,0.2591
21527,21216,0.2314
21527,85123A,0.2279
21527,20914,0.2222
21172,85123A,0.2487
21172,21166,0.1839
21172,82600,0.171
21172,21212,0.1632
21172,21754,0.1606
22329,20914,0.3226
22329,21212,0.2903
22329,20725,0.2742
22329,85099B,0.2339
22329,20728,0.1855
20828,85123A,0.2852
20828,21232,0.1661
20828,22423,0.1552
20828,37422,0.1481
20828,85099B,0.1372
35965,85123A,0.2093
35965,22138,0.2093
35965,84991,0.186
35965,22196,0.1628
35965,37447,0.1628
85014B,20679,0.3084
85014B,15056BL,0.2717
85014B,85123A,0.2466
85014B,15056N,0.2235
85014B,37422,0.1852
21127,85123A,0.25
21127,37422,0.2222
21127,22138,0.1944
21127,21232,0.1667
21127,22139,0.1667
72741,85123A,0.3091
72741,21232,0.1791
72741,20910,0.1739
72741,37370,0.1724
72741,21108,0.1559
22115,85123A,0.2968
22115,21175,0.2903
22115,82600,0.2839
22115,85150,0.2387
22115,21166,0.2258
21326,85123A,0.3
21326,22178,0.155
21326,21754,0.095
21326,22114,0.085
21326,21733,0.085
21828,20725,0.1833
21828,85123A,0.1667
21828,22114,0.15
21828,20728,0.15
21828,22139,0.1333
21206,21212,0.3394
21206,22090,0.2936
21206,85123A,0.2018
21206,84991,0.1835
21206,21127,0.1667
84212,20725,0.2517
84212,22383,0.2238
84212,85123A,0.2028
84212,85099B,0.1888
84212,21212,0.1748
37370,85123A,0.2562
37370,72741,0.1724
37370,22423,0.1724
37370,15056BL,0.1675
37370,20679,0.1527
21700,21232,0.3194
21700,21231,0.1898
21700,20914,0.1713
21700,22423,0.1528
21700,22200,0.146
37422,85123A,0.3333
37422,22138,0.3333
37422,20749,0.2593
37422,21127,0.2222
37422,21108,0.2222
21108,85123A,0.2419
21108,37422,0.2222
21108,21232,0.2204
21108,72741,0.1559
21108,21231,0.1505
22386,85099B,0.5729
22386,21930,0.4292
22386,85099F,0.3982
22386,21931,0.3631
22386,20725,0.2601
21231,21232,0.7794
21231,37447,0.3678
21231,85123A,0.2693
21231,22061,0.2188
21231,21700,0.1898
20985,85123A,0.2661
20985,20725,0.1376
20985,21485,0.1284
20985,85099B,0.1101
20985,21212,0.1101
22196,21212,0.2821
22196,84991,0.2564
22196,85123A,0.2454
22196,21977,0.1868
22196,21232,0.1832
21042,21843,0.2379
21042,21212,0.2282
21042,21155,0.2136
21042,85099B,0.199
21042,21041,0.1902
21894,85123A,0.1774
21894,22423,0.1613
21894,22139,0.1452
21894,22090,0.129
21894,22487,0.129
22165,85123A,0.3333
22165,21931,0.141
22165,21733,0.141
22165,22138,0.1282
22165,22383,0.1282
47310M,22138,0.2
47310M,85123A,0.2
47310M,21934,0.2
47310M,21930,0.2
47310M,22355,0.1667
21714,85123A,0.3175
21714,21754,0.1746
21714,21212,0.1323
21714,84991,0.1217
21714,22423,0.1217
21472,85123A,0.2021
21472,21212,0.1917
21472,22423,0.1762
21472,84991,0.1658
21472,20914,0.1554
21484,21485,0.3763
21484,85123A,0.2473
21484,22112,0.2151
21484,22114,0.1971
21484,22125,0.141
