item_id,similar_id,score
22041,21137,0.5112
22041,82001S,0.3133
22041,84692,0.1148
22041,22194,0.1145
22041,22109,0.111
22041,35638B,0.1104
22041,16054,0.1104
22041,21708,0.1087
22041,22179,0.1067
22041,20663,0.1041
22041,79320,0.1017
22041,21626,0.0976
22041,82600,0.0956
22041,22375,0.0931
22041,20833,0.0902
22041,84857C,0.0902
22041,21707,0.0902
22041,10124G,0.0902
22041,22191,0.0898
22041,22181,0.0885
22350,22349,0.6863
22350,22300,0.198
22350,22301,0.1955
22350,22108,0.1312
22350,22326,0.1261
22350,48111,0.1245
22350,84997D,0.1242
22350,22303,0.1227
22350,85099B,0.1224
22350,21212,0.1194
22350,84997C,0.1178
22350,20685,0.1172
22350,85123A,0.1123
22350,48188,0.1117
22350,22367,0.111
22350,21481,0.1107
22350,21590,0.1107
22350,21618,0.11
22350,22107,0.1099
22350,22328,0.1071
21068,21071,0.4975
21068,21069,0.3363
21068,21070,0.319
21068,21871,0.1983
21068,21067,0.1833
21068,21877,0.1748
21068,22046,0.1617
21068,21066,0.1515
21068,21508,0.1445
21068,22030,0.1387
21068,21506,0.1296
21068,22029,0.1277
21068,21509,0.1267
21068,22045,0.1262
21068,21523,0.1255
21068,21027,0.1252
21068,22081,0.1236
21068,90214Z,0.1213
21068,84510E,0.1213
21068,90056,0.1213
22136,22131,0.2397
22136,84050,0.2151
22136,22195,0.204
22136,22196,0.1971
22136,22202,0.1879
22136,22200,0.1805
22136,21563,0.172
22136,22135,0.1665
22136,22132,0.1626
22136,21564,0.1583
22136,21985,0.1516
22136,22133,0.1504
22136,22329,0.15
22136,20914,0.1474
22136,84992,0.1413
22136,90114,0.14
22136,84313A,0.1375
22136,22137,0.1345
22136,21232,0.1337
22136,84968A,0.1328
22349,22350,0.6863
22349,22300,0.2277
22349,22301,0.1897
22349,22303,0.1512
22349,21485,0.1483
22349,84997D,0.1309
22349,21755,0.1272
22349,22111,0.1267
22349,84997C,0.1242
22349,22244,0.124
22349,22357,0.1228
22349,48194,0.1225
22349,20685,0.1195
22349,21586,0.1193
22349,48138,0.119
22349,22107,0.1185
22349,48188,0.117
22349,22245,0.1168
22349,21955,0.1165
22349,21122,0.115
21523,48187,0.3528
21523,48138,0.3301
21523,21524,0.3221
21523,21955,0.3209
21523,48194,0.3038
21523,22366,0.2988
21523,48188,0.2957
21523,20685,0.2924
21523,48185,0.2781
21523,48111,0.2723
21523,48173C,0.27
21523,48184,0.2652
21523,48197,0.2581
21523,22365,0.2573
21523,48129,0.2491
21523,48116,0.232
21523,48195,0.2157
21523,21754,0.2106
21523,21755,0.2066
21523,22414,0.2049
21563,21564,0.518
21563,22195,0.2086
21563,22132,0.2026
21563,22131,0.1898
21563,22133,0.1895
21563,22199,0.1745
21563,22136,0.172
21563,22196,0.1604
21563,21507,0.1537
21563,21207,0.153
21563,21985,0.1508
21563,20750,0.1503
21563,21212,0.1473
21563,22134,0.1464
21563,22202,0.1409
21563,84212,0.1375
21563,84050,0.1371
21563,21432,0.1335
21563,22203,0.1325
21563,21721,0.131
21199,21198,0.3128
21199,21194,0.1849
21199,71050,0.1667
21199,79157B,0.1667
21199,21188,0.1622
21199,21197,0.1508
21199,21208,0.1508
21199,21555,0.1491
21199,21190,0.1443
21199,22259,0.1387
21199,85118,0.1352
21199,21080,0.1334
21199,90085,0.126
21199,35963,0.126
21199,21985,0.1206
21199,22318,0.1202
21199,35471D,0.1197
21199,22131,0.1186
21199,35909A,0.1179
21199,21369,0.1179
22328,22326,0.5024
22328,22327,0.3589
22328,22352,0.3082
22328,22329,0.3009
22328,22382,0.2962
22328,20726,0.263
22328,21559,0.2577
22328,20914,0.2511
22328,20725,0.2411
22328,21238,0.2392
22328,22384,0.2384
22328,22629,0.2353
22328,22383,0.2329
22328,20719,0.2322
22328,84997B,0.2308
22328,22631,0.2284
22328,22353,0.2274
22328,20676,0.2274
22328,21212,0.2242
22328,21242,0.2203
22200,22202,0.6886
22200,22201,0.4455
22200,22199,0.4099
22200,22203,0.3287
22200,22204,0.3219
22200,22207,0.2334
22200,81950V,0.1861
22200,22136,0.1805
22200,84050,0.165
22200,21564,0.1619
22200,22131,0.1569
22200,22195,0.1518
22200,20914,0.1442
22200,22196,0.1344
22200,84673A,0.1322
22200,84595B,0.1316
22200,22315,0.1286
22200,21440,0.1281
22200,22348,0.1278
22200,22064,0.1245
79323W,79323P,0.6527
79323W,79323LP,0.5754
79323W,79323GR,0.4153
79323W,79323B,0.2918
79323W,79323S,0.2789
79323W,79323G,0.2695
79323W,79342B,0.2513
79323W,79341,0.225
79323W,22111,0.2012
79323W,85123A,0.1952
79323W,85042,0.1882
79323W,84029E,0.1872
79323W,48138,0.1792
79323W,71053,0.1708
79323W,21485,0.1707
79323W,48194,0.1704
79323W,21523,0.1684
79323W,82494L,0.1677
79323W,20914,0.1661
79323W,48187,0.1661
85048,85045,0.2029
85048,84352,0.1384
85048,21821,0.1333
85048,22694,0.1294
85048,22456,0.1262
85048,85061W,0.1251
85048,21744,0.123
85048,22186,0.1225
85048,35991,0.1217
85048,90209B,0.1217
85048,85044,0.1209
85048,35400,0.1205
85048,84347,0.119
85048,21098,0.1177
85048,85047,0.1169
85048,21143,0.1168
85048,79323W,0.1159
85048,20934,0.115
85048,20879,0.1118
85048,21801,0.1099
22195,22196,0.5858
22195,22133,0.2656
22195,84378,0.2633
22195,22131,0.2539
22195,22132,0.2445
22195,84992,0.2418
22195,84050,0.2318
22195,21212,0.2187
22195,21985,0.2113
22195,21563,0.2086
22195,22136,0.204
22195,84991,0.2008
22195,21213,0.194
22195,22134,0.1938
22195,21977,0.1893
22195,21843,0.1829
22195,22138,0.1818
22195,84380,0.1805
22195,20914,0.1738
22195,22202,0.1678
48138,20685,0.4466
48138,48194,0.3715
48138,48187,0.3674
48138,21524,0.3508
48138,21523,0.3301
48138,48185,0.3145
48138,48188,0.3143
48138,21955,0.3128
48138,48111,0.3005
48138,22366,0.2978
48138,21621,0.2845
48138,48184,0.2841
48138,85123A,0.2769
48138,22365,0.2726
48138,48116,0.2702
48138,85099B,0.2603
48138,48129,0.2586
48138,48173C,0.2582
48138,22423,0.2532
48138,21622,0.2331
22202,22200,0.6886
22202,22203,0.3849
22202,22204,0.356
22202,22201,0.3428
22202,22199,0.3303
22202,22131,0.1939
22202,84050,0.1909
22202,22136,0.1879
22202,22195,0.1678
22202,21564,0.1532
22202,35810A,0.1521
22202,22135,0.1519
22202,35809A,0.1519
22202,22207,0.1457
22202,22133,0.1441
22202,21563,0.1409
22202,22196,0.1399
22202,20914,0.1365
22202,21973,0.136
22202,22328,0.1333
79323P,79323W,0.6527
79323P,79323LP,0.5273
79323P,79323GR,0.4825
79323P,79323B,0.3899
79323P,79323G,0.3288
79323P,79342B,0.2725
79323P,79323S,0.2623
79323P,79341,0.2615
79323P,85042,0.2187
79323P,21477,0.1804
79323P,84029E,0.1784
79323P,85123A,0.1715
79323P,84050,0.1687
79323P,79321,0.1656
79323P,22111,0.1641
79323P,85014B,0.1584
79323P,79320,0.1545
79323P,21181,0.1544
79323P,21488,0.1521
79323P,82600,0.1491
22201,22204,0.5827
22201,22200,0.4455
22201,22199,0.3663
22201,22202,0.3428
22201,22203,0.3104
22201,21564,0.1853
22201,90020,0.1562
22201,90152A,0.1562
22201,84600,0.1482
22201,22207,0.1469
22201,21539,0.1385
22201,90081A,0.1275
22201,21527,0.1269
22201,21563,0.1193
22201,90186B,0.1181
22201,20730,0.1141
22201,90160D,0.1104
22201,90043,0.1104
22201,90186A,0.1104
22201,47420,0.1104
21871,21877,0.4488
21871,21875,0.2694
21871,21071,0.2307
21871,21874,0.2134
21871,21868,0.2124
21871,21069,0.2051
21871,21068,0.1983
21871,21067,0.181
21871,21577,0.1809
21871,21872,0.1794
21871,21070,0.1792
21871,37370,0.1656
21871,22111,0.1654
21871,85123A,0.1636
21871,22030,0.1603
21871,21484,0.1594
21871,21755,0.1565
21871,22366,0.1541
21871,22301,0.1529
21871,21873,0.1527
21955,21523,0.3209
21955,48138,0.3128
21955,21524,0.2934
21955,20685,0.2825
21955,48187,0.2798
21955,22366,0.2745
21955,48185,0.2722
21955,48194,0.2684
21955,48184,0.2488
21955,48188,0.2338
21955,48173C,0.2256
21955,85123A,0.2051
21955,21755,0.2022
21955,21624,0.199
21955,48111,0.1912
21955,48195,0.19
21955,21754,0.1886
21955,22365,0.1838
21955,48197,0.1829
21955,48129,0.1813
40046A,84592,0.2611
40046A,20696,0.1667
40046A,79191C,0.1336
40046A,22754,0.1225
40046A,22328,0.1192
40046A,21648,0.119
40046A,46776B,0.1179
40046A,35910A,0.1179
40046A,22326,0.117
40046A,22353,0.1163
40046A,21578,0.1127
40046A,21680,0.1127
40046A,85089,0.1091
40046A,77079,0.1091
40046A,20719,0.1082
40046A,21249,0.1058
40046A,22136,0.105
40046A,77101A,0.1037
40046A,22352,0.1026
40046A,21432,0.1009
21564,21563,0.518
21564,22133,0.2061
21564,22201,0.1853
21564,21721,0.1628
21564,22200,0.1619
21564,22132,0.1591
21564,22136,0.1583
21564,22204,0.154
21564,22202,0.1532
21564,84212,0.1495
21564,21720,0.1448
21564,21985,0.1406
21564,22131,0.1314
21564,84673A,0.1265
