user_id,rank,item_id,score,Description,Chinese_Description,Product_Category,price
13085,1,22041,2.3682,"RECORD FRAME 7"" SINGLE SIZE",7英寸单曲尺寸唱片框,家居装饰,2.55
13085,2,79323P,2.3026,PINK CHERRY LIGHTS,粉色樱桃灯串,家居装饰,6.75
13085,3,79323W,2.3026,WHITE CHERRY LIGHTS,白色樱桃灯串,家居装饰,6.75
13085,4,21955,2.2142,DOORMAT UNION JACK GUNS AND ROSES,红色玻璃流苏包饰,装饰品,7.49
13085,5,21871,2.0277,SAVE THE PLANET MUG,拯救地球马克杯,厨房用品,1.25
13085,6,48138,1.9067,DOORMAT UNION FLAG,英国国旗门垫,家居装饰,7.49
13085,7,22349,1.9038,DOG BOWL CHASING BALL DESIGN,追球设计狗碗,宠物用品,3.75
13085,8,22195,1.8659,LARGE HEART MEASURING SPOONS,大号心形量勺,厨房用品,1.65
13085,9,21137,1.8179,BLACK RECORD COVER FRAME,黑色唱片相框,家居装饰,3.75
13085,10,22350,1.7896,ILLUSTRATED CAT BOWL,插画猫咪碗,厨房用品,2.55
13085,11,22353,1.7896,LUNCH BOX WITH CUTLERY FAIRY CAKES,带餐具的午餐盒仙女蛋糕,厨房用品,2.55
13085,12,22326,1.7819,ROUND SNACK BOXES SET OF4 WOODLAND,圆形零食盒套装4件森林主题,厨房用品,2.95
13085,13,22328,1.7819,ROUND SNACK BOXES SET OF 4 FRUITS,草莓大号购物袋,购物袋,2.95
13085,14,22064,1.7808,PINK DOUGHNUT TRINKET POT,粉色甜甜圈小饰品罐,收纳用品,1.65
13085,15,22244,1.7447,3 HOOK HANGER MAGIC GARDEN,魔法花园3钩挂钩,收纳用品,1.95
13085,16,21232,1.6991,STRAWBERRY CERAMIC TRINKET BOX,草莓陶瓷首饰盒,收纳用品,1.25
13085,17,22136,1.6958,LOVE HEART SOCK HANGER,爱心袜子晾架,收纳用品,1.65
13085,18,85048,1.6772,15CM CHRISTMAS GLASS BALL 20 LIGHTS,15厘米圣诞玻璃球20灯串,装饰品,7.95
13085,19,22179,1.6698,SET 10 LIGHTS NIGHT OWL,我爱伦敦托特包,购物袋,6.75
13085,20,21563,1.663,RED HEART SHAPE LOVE BUCKET,红色心形爱意桶,收纳用品,2.95
13085,21,21564,1.663,PINK  HEART SHAPE LOVE BUCKET,粉色心形爱意桶,收纳用品,2.95
13085,22,21068,1.6148,VINTAGE BILLBOARD LOVE/HATE MUG,复古广告牌爱/恨马克杯,厨房用品,1.25
